Title,Discription,Genre
The Godfather,span the year 1945 to 1955 a chronicl of the fiction italianamerican corleon crime famili when organ crime famili patriarch vito corleon bare surviv an attempt on hi life hi youngest son michael step in to take care of the wouldb killer launch a campaign of bloodi reveng,"Crime, Drama"
The Shawshank Redemption,frame in the 1940 for the doubl murder of hi wife and her lover upstand banker andi dufresn 's begin a new life at the shawshank prison where he put hi account skill to work for an amor warden dure hi long stretch in prison dufresn 's come to be admir by the other inmat includ an older prison name red for hi integr and unquench sens of hope,"Crime, Drama"
The Godfather Part II,in the continu saga of the corleon crime famili a young vito corleon grow up in sicili and in 1910 new york in the 1950 michael corleon attempt to expand the famili busi into la vega hollywood and cuba,"Crime, Drama"
Schindler's List,the true stori of how businessman oskar swindler save over a thousand jewish live from the nazi while they work as slave in hi factori dure world war ii,"Drama, History, War"
दिलवाले दुल्हनिया ले जायेंगे,raj be a rich carefre happygolucki second gener ni simran be the daughter of chaudhari balder singh who in spite of be an ni be veri strict about adher to indian valu simran have leav for india to be marri to her childhood fianc raj leav for india with a mission at hi hand to claim hi ladi love under the nose of her whole famili thu begin a saga,"Comedy, Drama, Romance"
12 Angry Men,the defens and the prosecut have rest and the juri be file into the juri room to decid if a young spanishamerican be guilti or innoc of murder hi father what begin as an open and shut case soon becom a minidrama of each of the juror prejudic and preconcept about the trial the accus and each other,Drama
千と千尋の神隠し,a young girl chihiro becom trap in a strang new world of spirit when her parent undergo a mysteri transform she must call upon the courag she never know she have to free her famili,"Animation, Family, Fantasy"
기생충,all unemploy kitten famili take peculiar interest in the wealthi and glamor park for their livelihood until they get entangl in an unexpect incid,"Comedy, Drama, Thriller"
The Dark Knight,batman rais the stake in hi war on crime with the help of it jim gordon and district attorney harvey dent batman set out to dismantl the remain crimin organ that plagu the street the partnership prove to be effect but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind know to the terrifi citizen of gotham as the joker,"Action, Crime, Drama, Thriller"
The Green Mile,a supernatur tale set on death row in a southern prison where gentl giant john coffe possess the mysteri power to heal peopl ailment when the cell block head guard paul edgecomb recogn coffe miracul gift he tri desper to help stave off the condemn man execut,"Crime, Drama, Fantasy"
君の名は。,high schooler itsuka and taki be complet stranger live separ live but one night they suddenli switch place itsuka wake up in take bodi and he in her thi bizarr occurr continu to happen randomli and the two must adjust their live around each other,"Animation, Drama, Romance"
Pulp Fiction,a burgerlov hit man hi philosoph partner a drugaddl gangster moll and a wash boxer converg in thi sprawl comed crime caper their adventur unfurl in three stori that ingeni trip back and forth in time,"Crime, Thriller"
The Lord of the Rings: The Return of the King,dragon be reveal as the heir to the ancient king as he gandalf and the other member of the break fellowship struggl to save gondor from sauron 's forc meanwhil frodo and sam take the ring closer to the heart of mordor the dark lord realm,"Action, Adventure, Fantasy"
Forrest Gump,a man with a low iq have accomplish great thing in hi life and be present dure signific histor event — in each case far exceed what anyon imagin he could do but despit all he have achiev hi one true love elud him,"Comedy, Drama, Romance"
"Il buono, il brutto, il cattivo",while the civil war rag on between the union and the confederaci three men i a quiet loner a ruthless hitman and a mexican bandit i comb the american southwest in search of a strongbox contain 200000 in steal gold,Western
GoodFellas,the true stori of henri hill a halfirish halfsicilian brooklyn kid who be adopt by neighbourhood gangster at an earli age and climb the rank of a mafia famili under the guidanc of jimmi conway,"Crime, Drama"
火垂るの墓,in the final month of world war ii 14yearold shita and hi sister setsuko be orphan when their mother be kill dure an air raid in kobe japan after a fall out with their aunt they move into an abandon bomb shelter with no surviv rel and their emerg ration deplet shita and setsuko struggl to surviv,"Animation, Drama, War"
La vita è bella,a touch stori of an italian book seller of jewish ancestri who live in hi own littl fairi tale hi creativ and happi life would come to an abrupt halt when hi entir famili be deport to a concentr camp dure world war ii while lock up he tri to convinc hi son that the whole thing be just a game,"Comedy, Drama"
七人の侍,a samurai answer a villag request for protect after he fall on hard time the town need protect from bandit so the samurai gather six other to help him teach the peopl how to defend themselv and the villag provid the soldier with food,"Action, Drama"
Nuovo Cinema Paradiso,a filmmak recal hi childhood when he fell in love with the movi at hi villag theater and form a deep friendship with the theater projectionist,"Drama, Romance"
Fight Club,a tickingtimebomb insomniac and a slipperi soap salesman channel primal male aggress into a shock new form of therapi their concept catch on with underground fight club form in everi town until an eccentr get in the way and ignit an outofcontrol spiral toward oblivion,Drama
Gabriel's Inferno,an intrigu and sin explor of seduct forbid love and redempt gabriel inferno be a captiv and wildli passion tale of one man escap from hi own person hell as he tri to earn the impossibleforg and love,"Drama, Romance"
